facility_id,name,country_iso3,country,location,lat_lon,type,status,lithium_form,coproducts_byproducts,companies,evidence_tier,source_file
usa-searles-lake-fac,Searles Lake Mine,USA,United States,"California, United States","35.7670, -117.4010",mine,unknown,Lithium,,"HOOKER CHEMICAL CO.; Kerr-McGee Chemical Corporation; NORTH AMERICAN CHEMICAL CO.; STAUFFER CHEMICAL CO.; Searles Valley Minerals Operations, Inc.",A,facilities/USA/usa-searles-lake-fac.json
usa-silver-peak-fac,Silver Peak Mine,USA,United States,"Tonopah, Nevada, United States","37.7808, -117.6264",mine,unknown,Lithium,,"Albemarle Corporation; Albemarle U.S., Inc.",A,facilities/USA/usa-silver-peak-fac.json
usa-stewart-and-other-mines-fac,Stewart And Other Mines Mine,USA,United States,"California, United States","33.3670, -117.0680",mine,unknown,Lithium,,A. E. Almind; F. H. Stewart; Jack Koterske; Pala Gem Mining Company; W. A. T. Agard,A,facilities/USA/usa-stewart-and-other-mines-fac.json
usa-taylor-ledge-lithia-mine-fac,Taylor Ledge Lithia Mine,USA,United States,"Oregon, United States","42.4690, -72.8260",mine,unknown,Lithium,,H.W. Eichemeyer; Ray Whiting,A,facilities/USA/usa-taylor-ledge-lithia-mine-fac.json
usa-thacker-pass-fac,Thacker Pass Mine,USA,United States,"Nevada, United States","41.7030, -118.0700",mine,unknown,Lithium,,General Motors Holdings LLC; Lithium Americas Corp.,A,facilities/USA/usa-thacker-pass-fac.json
usa-west-chesterfield-lithia-mine-fac,West Chesterfield Lithia Mine,USA,United States,United States,"42.4130, -72.8720",mine,unknown,Lithium,,,A,facilities/USA/usa-west-chesterfield-lithia-mine-fac.json
uzb-nurlikon-fac,Nurlikon Exploration,UZB,Uzbekistan,"Kyzylkum, Uzbekistan","40.9190, 69.6330",plant,unknown,Lithium,Neodymium-praseodymium (NdPr),Navoiy Uran; Nurlikum Mining LLC; Orano,A,facilities/UZB/uzb-nurlikon-fac.json
vnm-la-vi-lithium-deposit-fac,La Vi Lithium Mine,VNM,Vietnam,Vietnam,"15.0000, 108.5000",mine,unknown,Lithium,,,A,facilities/VNM/vnm-la-vi-lithium-deposit-fac.json
zmb-misika-project-fac,Misika Exploration,ZMB,Zambia,"Southern Province, Zambia","-17.7500, 25.9500",plant,unknown,Lithium,Niobium; Tantalum; Tin,First Africa Metals; First Africa Metals Ltd,A,facilities/ZMB/zmb-misika-project-fac.json
zwe-arcadia-lithium-fac,Arcadia Lithium Mine,ZWE,Zimbabwe,"Harare, Zimbabwe","-17.8000, 31.0500",mine,unknown,Lithium; Spodumene,Caesium,Prospect Lithium Zimbabwe; Prospect Resources; Zhejiang Huayou Cobalt,A,facilities/ZWE/zwe-arcadia-lithium-fac.json
zwe-arcadia-lithium-project-fac,Arcadia Lithium Mine,ZWE,Zimbabwe,"Mashonaland East, Zimbabwe","-17.7740, 31.4090",mine,operating,,,Prospect Lithium Zimbabwe (pvt) ltd; Prospect Resources Limited; Zhejiang Huayou Cobalt,B,facilities/ZWE/zwe-arcadia-lithium-project-fac.json
zwe-bikita-fac,Bikita Mine,ZWE,Zimbabwe,"Masvingo, Zimbabwe","-20.0000, 30.0000",mine,unknown,Lithium; Petalite,,Bikita Minerals (Private) Limited; Sinomine Resource Group,A,facilities/ZWE/zwe-bikita-fac.json
zwe-emerald-mine-fac,Emerald Mine,ZWE,Zimbabwe,"Midlands, Zimbabwe","-20.9167, 29.9331",mine,unknown,,Copper,Kuvimba Mining House; Rio Tinto Zinc; Sandawana Mines Ltd.,C,facilities/ZWE/zwe-emerald-mine-fac.json
zwe-kamativi-mine-fac,Kamativi Mine,ZWE,Zimbabwe,"Matabeleland North, Zimbabwe","-18.3290, 27.0630",mine,unknown,Lithium,,Kamativi Mining Company; Sichuan PD Technology Group; Yahua Group; Zimbabwe Lithium; Zimbabwe Mining Development Corporation,A,facilities/ZWE/zwe-kamativi-mine-fac.json
zwe-sabi-star-mine-fac,Sabi Star Mine,ZWE,Zimbabwe,"Buhera, Manicaland, Zimbabwe","-19.5065, 31.1741",mine,operating,,,Chengxin Lithium Group; Max Mind Investments; Max Minds Investments; Power China; Shenzhen Chengxin Lithium Group,C,facilities/ZWE/zwe-sabi-star-mine-fac.json
zwe-sandawana-mine-fac,Sandawana Mine,ZWE,Zimbabwe,"Midlands, Zimbabwe","-20.9167, 29.9331",mine,unknown,,,Kuvimba Mining House (Private) Limited,C,facilities/ZWE/zwe-sandawana-mine-fac.json
zwe-zulu-lithium-project-fac,Zulu Lithium Mine,ZWE,Zimbabwe,"Bulawayo, Matabeleland South, Zimbabwe","-19.3827, 28.5427",mine,unknown,,,Premafrimin; Premier African Minerals Limited,B,facilities/ZWE/zwe-zulu-lithium-project-fac.json
